Unnamed: 0,index,Hospital Name,Address,State,ZIP Code,County Name,Condition,Measure Name,Score
0,0,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PA,15240,ALLEGHENY,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,286.0
1,1,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PA,15240,ALLEGHENY,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,118.0
2,2,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PA,15240,ALLEGHENY,Preventative Care Measures,Patients assessed and given influenza vaccination,71.0
3,3,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PA,15240,ALLEGHENY,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
4,4,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PA,15240,ALLEGHENY,Emergency Department (ED) Measures,Door to diagnostic eval,
5,5,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PA,15240,ALLEGHENY,Emergency Department (ED) Measures,Median time to pain med,
6,6,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PA,15240,ALLEGHENY,Emergency Department (ED) Measures,Head CT results,
7,7,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PA,15240,ALLEGHENY,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
8,8,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PA,15240,ALLEGHENY,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
9,9,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PA,15240,ALLEGHENY,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
10,10,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PA,15240,ALLEGHENY,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
11,11,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PA,15240,ALLEGHENY,Acute Myocardial Infarction (AMI),Median Time to ECG,
12,12,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PA,15240,ALLEGHENY,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
13,13,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,WV,26301,HARRISON,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,193.0
14,14,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,WV,26301,HARRISON,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,59.0
15,15,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,WV,26301,HARRISON,Preventative Care Measures,Patients assessed and given influenza vaccination,93.0
16,16,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,WV,26301,HARRISON,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
17,17,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,WV,26301,HARRISON,Emergency Department (ED) Measures,Door to diagnostic eval,
18,18,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,WV,26301,HARRISON,Emergency Department (ED) Measures,Median time to pain med,
19,19,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,WV,26301,HARRISON,Emergency Department (ED) Measures,Head CT results,
20,20,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,WV,26301,HARRISON,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
21,21,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,WV,26301,HARRISON,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
22,22,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,WV,26301,HARRISON,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
23,23,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,WV,26301,HARRISON,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
24,24,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,WV,26301,HARRISON,Acute Myocardial Infarction (AMI),Median Time to ECG,
25,25,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,WV,26301,HARRISON,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
